id,word,uk_audio,us_audio
0001,schedule,audio/uk/0001.mp3,audio/us/0001.mp3
0002,progress,audio/uk/0002.mp3,audio/us/0002.mp3
0003,process,audio/uk/0003.mp3,audio/us/0003.mp3
0004,quarter,audio/uk/0004.mp3,audio/us/0004.mp3
0005,priorities,audio/uk/0005.mp3,audio/us/0005.mp3
0006,thoroughly,audio/uk/0006.mp3,audio/us/0006.mp3
0007,direct,audio/uk/0007.mp3,audio/us/0007.mp3
0008,creative,audio/uk/0008.mp3,audio/us/0008.mp3
0009,supervisor,audio/uk/0009.mp3,audio/us/0009.mp3
0010,hierarchy,audio/uk/0010.mp3,audio/us/0010.mp3
